亜鉛	aen	zinc
傑士	kessi	hero
脇士	wakizi	flanking attendant to the main deity of veneration in a temple
氏名	simei	full name
氏子	uziko	shrine parishioner
氏族	sizoku	clan
氏神	uzigami	patron god
同氏	doosi	the said person
両氏	ryoosi	both persons
源氏	genzi	Genji
彼氏	karesi	boyfriend
華氏	kasi	degrees Fahrenheit
諸氏	syosi	you or them
杜氏	toozi	chief brewer at a sake brewery
摂氏	sessi	Centigrade
某氏	boosi	certain person
姓氏	seisi	full name
司法	sihoo	administration of justice
司令	sirei	command
司会	sikai	chairmanship
司書	sisyo	librarian
司教	sikyoo	bishop
司祭	sisai	priest
司直	sityoku	judge
司式	sisiki	officiating
上司	zyoosi	superior authorities
宮司	guuzi	chief priest
行司	gyoozi	referee
公司	koosi	company
寿司	susi	sushi
国司	kokusi	provincial governor
厚司	atusi	elm bark clothes traditionally worn by the Ainu
下司	gesu	low-life
祭司	saisi	priest
有司	yuusi	public servant
矢倉	yagura	turret
矢先	yasaki	arrowhead
矢面	yaomote	bearing the full brunt of something
矢印	yazirusi	arrow
矢文	yabumi	letter affixed to an arrow
矢尻	yaziri	arrowhead
矢場	yaba	archery range
矢先	yasaki	arrowhead
矢車	yaguruma	arrow wheel
矢来	yarai	rough fence of bamboo, logs, etc. constructed at battle sites or execution grounds
矢絣	yagasuri	pattern resembling that of arrow feathers
矢玉	yadama	ammunition
矢種	yadane	one's supply of arrows
一矢	issi	an arrow
弓矢	yumiya	bow and arrow
征矢	soya	used arrow, collected from battlefield
嚆矢	koosi	arrow to which is attached a turnip-shaped whistle made of hollowed-out wood or deer horn
鏑矢	kaburaya	arrow to which is attached a turnip-shaped whistle made of hollowed-out wood or deer horn
遠矢	tooya	long-distance arrow
火矢	hiya	fire arrow
乙矢	otoya	arrow with feathers that curve to the right
吹矢	hukiya	blowgun
毒矢	dokuya	poisoned arrow
旨味	umami	good flavor
旨煮	umani	fish, meat, and vegetables stewed in a thick, sweet sauce of soy sauce, sugar and mirin
要旨	yoosi	point
趣旨	syusi	meaning
諭旨	yusi	official suggestion
論旨	ronsi	point of an argument
本旨	honsi	main object
宗旨	syuusi	of a religious sect
主旨	syusi	meaning
令旨	reisi	prince's message
宣旨	senzi	written imperial order
綸旨	rinzi	the Emperor's command
聖旨	seisi	imperial command
勅旨	tyokusi	imperial order
至上	sizyoo	supremacy
至福	sihuku	beatitude
至難	sinan	most difficult
至近	sikin	very near
至宝	sihoo	most valuable asset
至難	sinan	most difficult
至誠	sisei	sincerity
至高	sikoo	supreme
至芸	sigei	art of consummate skill
至言	sigen	wise saying
至極	sigoku	very
至便	siben	very convenient
至当	sitoo	just
至大	sidai	immense
至便	siben	very convenient
至純	sizyun	absolute purity
至情	sizyoo	sincerity
至孝	sikoo	supreme filial piety
至純	sizyun	absolute purity
至心	sisin	sincerity
至善	sizen	the highest good
至尊	sison	the Emperor
必至	hissi	inevitable
冬至	toozi	winter solstice
夏至	gesi	summer solstice
志向	sikoo	intention
志願	sigan	aspiration
志望	siboo	wish
志学	sigaku	age 15
志士	sisi	patriot
志操	sisoo	principle
志気	siki	determination
有志	yuusi	voluntary
意志	isi	will
闘志	toosi	fighting spirit
同志	doosi	same mind
遺志	isi	dying wish
雄志	yuusi	ambition
大志	taisi	ambition
立志	rissi	one's life goal
初志	syosi	original intention
篤志	tokusi	charity
寸志	sunsi	small present
厚志	koosi	kind intention
素志	sosi	longstanding desire or goal
宿志	syukusi	longstanding desire
芳志	hoosi	kindness
福祉	hukusi	welfare
肢体	sitai	limbs
四肢	sisi	limbs
下肢	kasi	the legs
義肢	gisi	artificial limb
上肢	zyoosi	upper limbs
前肢	zensi	forefoot
姿勢	sisei	attitude
姿見	sugatami	dresser
姿態	sitai	figure
容姿	yoosi	appearance
雄姿	yuusi	gallant figure
風姿	huusi	appearance
後姿	usirosugata	retreating figure
勇姿	yuusi	gallant figure
絵姿	esugata	portrait
艶姿	adesugata	charming figure
初姿	hatusugata	in the New Year
英姿	eisi	noble figure
立姿	tatisugata	standing figure
施設	sisetu	institution
施行	sikoo	execution
施策	sisaku	policy
施工	sikoo	construction
施政	sisei	government
施錠	sezyoo	locking
施主	sesyu	donor
施術	sizyutu	medical treatment
施肥	sehi	manuring
施療	seryoo	free medical treatment
施薬	seyaku	free medicine
施物	semotu	alms
施米	semai	rice given in charity
実施	zissi	enforcement
布施	huse	alms
視聴	sityoo	looking and listening
視点	siten	opinion
視野	siya	field of vision
視察	sisatu	inspection
視線	sisen	one's line of sight
視覚	sikaku	sense of sight
視力	siryoku	eyesight
視界	sikai	field of vision
視認	sinin	confirm by sight
視座	siza	vantage point
視角	sikaku	visual angle
視床	sisyoo	thalamus
視学	sigaku	school inspector
視差	sisa	parallax
視程	sitei	visibility
視診	sisin	visual examination
重視	zyuusi	importance
監視	kansi	monitoring
無視	musi	disregarding
軽視	keisi	making light of
注視	tyuusi	gazing steadily at
巡視	zyunsi	inspection tour
直視	tyokusi	looking someone in the eyes
敵視	tekisi	as hostile
可視	kasi	visibility
警視	keisi	police superintendent
検視	kensi	autopsy
目視	mokusi	eyesight
凝視	gyoosi	stare
近視	kinsi	myopia
弱視	zyakusi	amblyopia
透視	toosi	seeing through
蔑視	bessi	contempt
正視	seisi	looking straight ahead
環視	kansi	looking around
座視	zasi	remaining an idle spectator
幻視	gensi	visual hallucination
遠視	ensi	farsightedness
衛視	eisi	guards at parliament
乱視	ransi	astigmatism
斜視	syasi	squint
同視	doosi	treating alike
錯視	sakusi	optical illusion
黙視	mokusi	view without saying a word
嫉視	sissi	jealousy
熟視	zyukusi	staring at
聴視	tyoosi	listening and watching
明視	meisi	clarity of vision
紫色	murasakiiro	violet
紫紺	sikon	bluish purple
紫煙	sien	purple smoke
紫苑	sion	Tartarian aster
紫雲	siun	purple clouds
紫斑	sihan	purple spot
紫電	siden	purple lightning
紫檀	sitan	rosewood
紫根	sikon	gromwell root
紫蘭	siran	Bletilla striata
薄紫	usumurasaki	light purple
若紫	wakamurasaki	light purple
濃紫	komurasaki	dark purple
大紫	oomurasaki	giant purple butterfly
九紫	kyuusi	ninth of nine traditional astrological signs
嗣子	sisi	heir
令嗣	reisi	heir
後嗣	koosi	heir
世嗣	seisi	heir
継嗣	keisi	successor
皇嗣	koosi	Crown Prince
詩人	sizin	poet
詩集	sisyuu	poetry anthology
詩歌	sika	poetry
詩情	sizyoo	poetic sentiment
詩的	siteki	poetic
詩文	sibun	poetry and prose
詩作	sisaku	composition of a poem
詩型	sikei	form of verse
詩句	siku	verse
詩編	sihen	book containing a collection of poems
詩篇	sihen	book containing a collection of poems
詩吟	sigin	reciting Chinese poems
詩壇	sidan	poetic circles
詩論	siron	essay on poetry
詩学	sigaku	study of poetry
詩碑	sihi	poem inscribed on monument
詩書	sisyo	book of poetry
詩経	sikyoo	#NAME?
詩劇	sigeki	drama in verse
詩形	sikei	form of verse
詩語	sigo	poetic diction
詩境	sikyoo	poem's locale
詩抄	sisyoo	anthology
詩聖	sisei	great poet
詩才	sisai	talent for poetry
詩想	sisoo	poetical imagination
詩巻	sikan	collection of poems
詩趣	sisyu	poetic
詩宗	sisoo	master poet
詩仙	sisen	great poet
詩体	sitai	poetic form
漢詩	kansi	Chinese poetry
作詩	sakusi	versification
短詩	tansi	verselet
訳詩	yakusi	translated poem
原詩	gensi	original poem
唐詩	toosi	poetry of the T'ang period
古詩	kosi	ancient poems
劇詩	gekisi	dramatic poetry
律詩	rissi	ancient Chinese verse form
狂詩	kyoosi	type of humorous poem
哀詩	aisi	elegy
飼育	siiku	breeding
飼料	siryoo	fodder
飼養	siyoo	breeding
飼主	kainusi	shepherd
飼犬	kaiinu	pet dog
飼鳥	kaidori	pet bird
飼葉	kaiba	fodder
鵜飼	ukai	cormorant fishing
雌雄	siyuu	male and female
雌伏	sihuku	remaining in obscurity
雌牛	meusi	cow
雌花	mebana	female flower
雌鳥	mendori	female bird
雌蕊	mesibe	pistil
雌滝	medaki	the smaller waterfall
賜杯	sihai	Emperor's cup
賜物	tamamono	gift
賜金	sikin	monetary grant
恩賜	onsi	Imperial gift
下賜	kasi	grant
諮問	simon	question
諮詢	sizyun	question
侍従	zizyuu	chamberlain
侍医	zii	court physician
侍女	zizyo	lady attendant
侍者	zisya	attendant
侍臣	zisin	courtier
侍立	ziritu	assisting
侍講	zikoo	imperial tutor
侍史	zisi	private secretary
侍読	zidoku	imperial tutor
典侍	tenzi	maid of honor
内侍	naisi	maid of honor
犬侍	inuzamurai	cowardly or depraved samurai
近侍	kinzi	attendant
国侍	kunizamurai	provincial samurai
滋養	ziyoo	nourishment
滋味	zimi	nutriment
慈善	zizen	charity
慈悲	zihi	compassion
慈愛	ziai	affection
慈雨	ziu	welcome rain
慈母	zibo	affectionate mother
慈父	zihu	affectionate father
慈眼	zigen	merciful eye
慈姑	kuwai	Sagittaria trifolia var. edulis
仁慈	zinzi	kind-hearted
磁気	ziki	magnetism
磁石	zisyaku	magnet
磁場	ziba	magnetic field
磁器	ziki	porcelain
磁力	ziryoku	magnetism
磁性	zisei	magnetism
磁界	zikai	magnetic field
磁土	zido	kaolin
磁極	zikyoku	NS magnetic pole
磁束	zisoku	magnetic flux
磁針	zisin	magnetic needle
磁化	zika	magnetization
電磁	denzi	electromagnetic
青磁	seizi	celadon porcelain
陶磁	toozi	clay
白磁	hakuzi	white porcelain
励磁	reizi	excitation
鹿毛	kage	fawn colour
鹿砦	rokusai	abatis
馬鹿	baka	fool
馴鹿	tonakai	
子鹿	kozika	fawn
河鹿	kazika	kajika frog
軸物	zikumono	scroll
中軸	tyuuziku	axis
主軸	syuziku	main spindle
枢軸	suuziku	axle
基軸	kiziku	key
車軸	syaziku	axle
機軸	kiziku	axis
地軸	tiziku	earth's axis
同軸	dooziku	same axle
掛軸	kakeziku	hanging scroll
一軸	itiziku	uniaxial
花軸	kaziku	rachis
疾患	sikkan	disease
疾病	sippei	illness
疾走	sissoo	sprint
疾風	sippuu	gale
疾駆	sikku	riding fast
眼疾	gansitu	eye disease
痔疾	zisitu	hemorrhoids
悪疾	akusitu	malignant or virulent disease
執行	sikkoo	execution
執筆	sippitu	writing
執念	syuunen	tenacity
執務	situmu	performance of one's official duties
執着	syuutyaku	attachment
執刀	sittoo	performing a surgical operation
執拗	situyoo	persistent
執事	situzi	steward
執政	sissei	administration
執権	sikken	regent to the shogunate
執心	syuusin	devotion
確執	kakusitu	discord
固執	kositu	
妄執	moosyuu	deep-rooted delusion
我執	gasyuu	egotism
偏執	hensyuu	bias
中執	tyuusitu	Central Executive Committee
漆器	sikki	lacquer ware
漆黒	sikkoku	jet black
漆喰	sikkui	mortar
生漆	kiurusi	unrefined sap of the lacquer tree
芝居	sibai	play
芝生	sibahu	lawn
舎利	syari	bones left after cremation
舎弟	syatei	my younger brother
舎人	toneri	servant
舎監	syakan	dormitory dean
校舎	koosya	school building
宿舎	syukusya	lodging house
田舎	inaka	rural area
庁舎	tyoosya	government office building
駅舎	ekisya	station building
官舎	kansya	official residence
鶏舎	keisya	poultry house
厩舎	kyuusya	barn
牛舎	gyuusya	cow shed
兵舎	heisya	barracks
公舎	koosya	official residence
学舎	gakusya	school
畜舎	tikusya	cattle shed
豚舎	tonsya	pigpen
精舎	syoozya	temple
獄舎	gokusya	prison
営舎	eisya	barracks
病舎	byoosya	hospital
牧舎	bokusya	barn
殿舎	densya	palace
鳩舎	kyuusya	pigeon house
寮舎	ryoosya	dormitory
客舎	kakusya	hotel
三舎	sansya	three days' march
堂舎	doosya	large and small buildings, esp. shrines and temples
射殺	syasatu	shooting to death
射撃	syageki	firing
射程	syatei	range
射手	syasyu	archer
射場	syazyoo	rifle or shooting range
射幸	syakoo	speculation
射精	syasei	ejaculation
射的	syateki	target practice
射出	syasyutu	shooting
射影	syaei	projection
射利	syari	love of easy money
射倖	syakoo	speculation
発射	hassya	firing
注射	tyuusya	injection
放射	hoosya	radiation
反射	hansya	reflection
乱射	ransya	random shooting
照射	syoosya	exposure
噴射	hunsya	jet
直射	tyokusya	direct fire
伏射	hukusya	shooting lying prone
掃射	soosya	sweeping with fire
試射	sisya	test firing
日射	nissya	solar radiation
投射	toosya	projection
連射	rensya	rapid-fire
速射	sokusya	quick firing
出射	syussya	output
騎射	kisya	shooting on horseback
輻射	hukusya	radiation
入射	nyuusya	incidence
曲射	kyokusya	high-angle fire
赦免	syamen	remission
容赦	yoosya	pardon
恩赦	onsya	amnesty
特赦	tokusya	amnesty
大赦	taisya	amnesty
斜面	syamen	slope
斜陽	syayoo	setting sun
斜線	syasen	oblique line
斜視	syasi	squint
斜光	syakoo	slanting rays of light
斜影	syaei	slanted or oblique shadow
斜坑	syakoo	inclined shaft
斜体	syatai	italic
斜辺	syahen	oblique line
傾斜	keisya	inclination
煮物	nimono	food cooked by boiling or stewing
煮汁	niziru	broth
煮干	nibosi	dried sardines
煮豆	nimame	cooked beans
煮沸	syahutu	boiling up
雑煮	zooni	soup containing rice cakes and vegetables
佃煮	tukudani	preserved food boiled in soy
甘煮	umani	fish, meat, and vegetables stewed in a thick, sweet sauce of soy sauce, sugar and mirin
旨煮	umani	fish, meat, and vegetables stewed in a thick, sweet sauce of soy sauce, sugar and mirin
潮煮	usioni	fish, shellfish, etc. boiled in salted water
遮断	syadan	isolation
遮音	syaon	soundproofing
遮光	syakoo	shade
遮蔽	syahei	screen
謝罪	syazai	apology
謝礼	syarei	reward
謝意	syai	gratitude
謝辞	syazi	thanks
謝金	syakin	reward
謝恩	syaon	gratitude
謝絶	syazetu	refusal
謝状	syazyoo	thank-you letter
感謝	kansya	thanks
陳謝	tinsya	apology
慰謝	isya	consolation
代謝	taisya	renewal
月謝	gessya	monthly tuition fee
薄謝	hakusya	small consideration
深謝	sinsya	deep appreciation or gratitude
報謝	hoosya	repaying a favor
多謝	tasya	many thanks
邪魔	zyama	hindrance
邪魔	zyama	hindrance
邪悪	zyaaku	wicked
邪道	zyadoo	evil course
邪気	zyaki	maliciousness
邪推	zyasui	distrust
邪教	zyakyoo	heresy
邪念	zyanen	wicked thought
邪険	zyaken	cruelty
邪心	zyasin	wicked heart
邪神	zyasin	an evil god
邪恋	zyaren	illicit love
邪宗	zyasyuu	heresy
邪淫	zyain	lewdness
邪見	zyaken	evil point of view
邪慳	zyaken	cruelty
邪智	zyati	knowledge applied to evil purposes
風邪	kaze	common cold
正邪	seizya	right and wrong
破邪	hazya	crushing evil
蛇行	dakoo	meandering
蛇口	zyaguti	faucet
蛇足	dasoku	redundancy
蛇腹	zyabara	bellows
蛇体	zyatai	body of a snake
蛇蝎	dakatu	and scorpion
蛇籠	zyakago	gabion
蛇管	zyakan	coil
長蛇	tyooda	long snake
大蛇	oroti	big snake
毒蛇	dokuhebi	poisonous snake
白蛇	sirohebi	albino Japanese rat snake
金蛇	kanahebi	lacertid
海蛇	umihebi	sea snake
蟒蛇	uwabami	large snake
尺度	syakudo	linear measure
尺八	syakuhati	shakuhachi
尺牘	sekitoku	letter
縮尺	syukusyaku	reduced scale
間尺	masyaku	marked
巻尺	makizyaku	tape measure
曲尺	kyokusyaku	carpenter's square
鯨尺	kuzirazyaku	long foot
着尺	kizyaku	standard length of material used in a kimono
咫尺	siseki	very short distance
酌量	syakuryoo	consideration
酌婦	syakuhu	barmaid
晩酌	bansyaku	drink at home with the evening meal
斟酌	sinsyaku	consideration
手酌	tezyaku	helping oneself to a drink
独酌	dokusyaku	drinking alone
参酌	sansyaku	comparison and choosing the good
媒酌	baisyaku	matchmaking
釈放	syakuhoo	release
釈明	syakumei	explanation
釈迦	syaka	
釈然	syakuzen	fully satisfied
釈尊	syakuson	Sakyamuni
釈義	syakugi	exegesis
解釈	kaisyaku	explanation
保釈	hosyaku	bail
注釈	tyuusyaku	notes
会釈	esyaku	nod
講釈	koosyaku	lecture
希釈	kisyaku	dilution
語釈	gosyaku	interpretation of a word
新釈	sinsyaku	new interpretation
評釈	hyoosyaku	commentary
註釈	tyuusyaku	notes
帝釈	taisyaku	Sakra devanam Indra
爵位	syakui	peerage
伯爵	hakusyaku	count
男爵	dansyaku	baron
公爵	koosyaku	prince
侯爵	koosyaku	marquis
子爵	sisyaku	viscount
勲爵	kunsyaku	peerage and order of merit
栄爵	eisyaku	peerage
叙爵	zyosyaku	conferring a peerage
人爵	zinsyaku	worldly honors
寂寥	sekiryoo	loneliness
寂光	zyakkoo	light of wisdom
寂寞	sekibaku	loneliness
寂然	zyakunen	lonely
寂滅	zyakumetu	nirvana
寂々	sekiseki	sad
寂寂	sekiseki	sad
静寂	sizima	silence
静寂	seizyaku	silence
入寂	nyuuzyaku	death of a priest
閑寂	kanzyaku	quiet
閑寂	kanzyaku	quiet
寂寂	sekiseki	sad
朱色	syuiro	vermilion
朱鷺	toki	Japanese crested ibis
朱印	syuin	red seal
朱筆	syuhitu	red-ink brush
朱肉	syuniku	thick red ink
朱書	syusyo	writing in red
朱墨	syuzumi	red-ink stick
朱唇	syusin	red lips
朱欒	zabon	shaddock
堆朱	tuisyu	red lacquerware with patterns carved in relief
狩猟	syuryoo	hunting
狩人	karyuudo	hunter
狩場	kariba	hunting ground
狩衣	kariginu	kariginu
巻狩	makigari	hunt
鷹狩	takagari	falconry
殊勲	syukun	meritorious deeds
殊勝	syusyoo	admirable
特殊	tokusyu	special
珠玉	syugyoku	gem
珠算	syuzan	calculation with abacus
真珠	sinzyu	pearl
数珠	zyuzu	rosary
宝珠	hoosyu	gem
連珠	renzyu	variant of gobang
念珠	nenzyu	rosary
聯珠	renzyu	variant of gobang
胚珠	haisyu	ovule
趣味	syumi	hobby
趣旨	syusi	meaning
趣向	syukoo	plan
趣意	syui	main meaning
意趣	isyu	grudge
興趣	kyoosyu	interest
情趣	zyoosyu	mood
野趣	yasyu	rural beauty
風趣	huusyu	elegance
雅趣	gasyu	elegance
詩趣	sisyu	poetic
妙趣	myoosyu	exquisite beauty or charms
授業	zyugyoo	lesson
授賞	zyusyoo	awarding a prize
授与	zyuyo	award
授受	zyuzyu	give and receive
授精	zyusei	fertilization
授乳	zyunyuu	breast-feeding
授産	zyusan	sheltered work programs
授戒	zyukai	handing down the precepts
教授	kyoozyu	professor
伝授	denzyu	instruction
神授	sinzyu	divine gift
天授	tenzyu	natural gifts
需要	zyuyoo	demand
需給	zyukyuu	supply and demand
需品	zyuhin	supplies
需用	zyuyoo	consumption
内需	naizyu	domestic demand
外需	gaizyu	foreign consumption
必需	hituzyu	necessary
民需	minzyu	private demand
特需	tokuzyu	emergency demands
軍需	gunzyu	munitions
実需	zituzyu	actual demand
官需	kanzyu	official demand
儒教	zyukyoo	Confucianism
儒学	zyugaku	Confucianism
儒者	zyusya	Confucianist
儒家	zyuka	Confucianist
儒官	zyukan	official Confucian teacher
儒仏	zyubutu	Confucianism and Buddhism
儒生	zyusei	Confucian scholar
犬儒	kenzyu	cynic
大儒	taizyu	great Confucian
侏儒	syuzyu	dwarf
藩儒	hanzyu	scholar retained by a feudal lord or daimyo
腐儒	huzyu	pedant
樹立	zyuritu	establish
樹木	zyumoku	trees and shrubs
樹脂	zyusi	resin
